text,label,source,sentimiento_tabularis,calificacion_nlp_bert,sentimiento_robertuito
"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).,positive,intertass_2017,Neutral,Muy Negativo,Neutral
Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",positive,intertass_2017,Neutral,Muy Negativo,Positivo
"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",negative,intertass_2017,Neutral,Muy Negativo,Negativo
Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente,neutral,intertass_2017,Positivo,Positivo,Negativo
"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",positive,intertass_2017,Positivo,Neutral,Positivo
Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,negative,intertass_2017,Negativo,Muy Negativo,Negativo
"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",neutral,intertass_2017,Neutral,Positivo,Neutral
Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http,positive,intertass_2017,Muy Negativo,Muy Negativo,Neutral
Cuando pasan de tu p*** cara  😢,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user la divaza te tiene cansado toda la noche no te deja dormir,neutral,intertass_2017,Positivo,Muy Negativo,Negativo
Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user No se , creo que no . Yo solo mire mi fecha",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user hoy tengo libre JAJA , viernes no puedo",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...,positive,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Sólo la Karlita me entiende y me da buenos consejos,positive,intertass_2017,Positivo,Positivo,Positivo
"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Tengamos un día lleno de magia y lindos momentos,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",negative,intertass_2017,Negativo,Negativo,Negativo
@user todo lo que sea posible,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja",positive,intertass_2017,Muy Negativo,Muy Positivo,Neutral
Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️,negative,intertass_2017,Muy Negativo,Neutral,Neutral
cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo,neutral,intertass_2017,Muy Negativo,Muy Positivo,Neutral
@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Quiero comer algo, aunque estoy llena",negative,intertass_2017,Positivo,Neutral,Negativo
No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.,neutral,intertass_2017,Negativo,Negativo,Neutral
"@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel",positive,intertass_2017,Neutral,Muy Positivo,Positivo
glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA,negative,intertass_2017,Muy Negativo,Muy Positivo,Neutral
"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión,positive,intertass_2017,Neutral,Muy Positivo,Positivo
Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante,negative,intertass_2017,Muy Negativo,Negativo,Negativo
Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??",positive,intertass_2017,Muy Positivo,Neutral,Neutral
Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk,negative,intertass_2017,Negativo,Neutral,Negativo
El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza,neutral,intertass_2017,Negativo,Negativo,Negativo
"@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)",positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
"Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas",negative,intertass_2017,Negativo,Negativo,Negativo
"Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.",neutral,intertass_2017,Positivo,Muy Positivo,Positivo
@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user @user dicen que tira pa, san Mateo ahora Jaaja",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?,neutral,intertass_2017,Neutral,Neutral,Neutral
Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo,positive,intertass_2017,Positivo,Muy Positivo,Negativo
"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa",negative,intertass_2017,Muy Negativo,Negativo,Negativo
Nicole choteando idiotas desde tiempos inmemorables!,neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user necesito mi ración de atención diaria que si no no mantengo la autoestima,negative,intertass_2017,Negativo,Neutral,Neutral
@user @user Fue la última vez que fuimos al cine,neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
@user Pero es que está muy rica,positive,intertass_2017,Muy Positivo,Positivo,Positivo
@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder,negative,intertass_2017,Negativo,Muy Negativo,Negativo
"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge",neutral,intertass_2017,Negativo,Neutral,Neutral
@user ya mismo seguro! Un abrazo fuerte,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo,negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
"@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user Que bonita zona de entreno escogieron,positive,intertass_2017,Positivo,Positivo,Positivo
Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user",negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
"y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors",negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user no las des preciosa,positive,intertass_2017,Negativo,Muy Negativo,Negativo
Bueeeeno... no me siento bien. Gracias playlist por cagarme peor,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user",neutral,intertass_2017,Positivo,Neutral,Neutral
"No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo",positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?,negative,intertass_2017,Positivo,Muy Negativo,Negativo
"@user @user sí, celulares distintos en realidad",neutral,intertass_2017,Neutral,Neutral,Neutral
"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado",positive,intertass_2017,Neutral,Muy Negativo,Positivo
"@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación",negative,intertass_2017,Neutral,Muy Negativo,Negativo
¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento,positive,intertass_2017,Negativo,Muy Negativo,Negativo
Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días,negative,intertass_2017,Muy Negativo,Neutral,Positivo
"#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user",neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",negative,intertass_2017,Neutral,Neutral,Negativo
@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato",positive,intertass_2017,Positivo,Muy Negativo,Positivo
"@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this",negative,intertass_2017,Negativo,Negativo,Negativo
""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http",neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.,positive,intertass_2017,Neutral,Muy Positivo,Positivo
"A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo",negative,intertass_2017,Positivo,Neutral,Negativo
@user es lo que tiene ser el mejor,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Que tengas un fantástico día Caeli,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user @user @user es un término coloquial, no un análisis",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user @user Gran programa pero se extraña a Leto !,positive,intertass_2017,Neutral,Neutral,Negativo
@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa,negative,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",positive,intertass_2017,Positivo,Muy Positivo,Positivo
¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente,negative,intertass_2017,Muy Negativo,Negativo,Negativo
"@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios",neutral,intertass_2017,Neutral,Positivo,Neutral
Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…,positive,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"Pobre ilusa yo, pensé que me haríais algo de caso por una vez",negative,intertass_2017,Muy Negativo,Negativo,Negativo
@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http",positive,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!",neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo,neutral,intertass_2017,Neutral,Neutral,Neutral
@user @user @user las tengo pero aún no las he leído. Caerán prontito,positive,intertass_2017,Neutral,Muy Negativo,Neutral
Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada,negative,intertass_2017,Neutral,Negativo,Negativo
Seré breve: quiero yuquitas y por mi chamba no venden,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio",positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
"Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
Y se acabó El Oso el Tigre y los demás fue bueno mientras duró,positive,intertass_2017,Positivo,Neutral,Neutral
Es que por las noches en mi cuarto y mi sobremesa me angustio sabéis  Me vengo al sofá con el portátil y el ventilador y eso,negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
"@user Yo estoy valorando Movistar. Son careros, pero tienen buenas ofertas para el primer año. Y luego ya se verá...  @user",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
me encantaría mucho tener una buena cámara y saber como usarla a la perfección,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa,negative,intertass_2017,Negativo,Muy Negativo,Neutral
Casi me quedo dormido en el bus hasta Trujillo,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user gracias por tu atenta y puntual bienvenida al curso online. Va a ser un placer trabajar contigo,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Quieras o no, vivir rodeada de mar, te influye.  Paso un par de semanas sin ir a la playa y ya me hace falta.",negative,intertass_2017,Positivo,Muy Positivo,Negativo
@user MEMEO AJAJAJ Pues yo llevo.. 3 años sin dar educación física,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Estoy contenta, acabo de ver que los gustos que en algún momento transmití sobre una banda en específica, ha llegado a otra persona más.",positive,intertass_2017,Positivo,Positivo,Positivo
que te echo de menos cosa chicaa!   http,negative,intertass_2017,Positivo,Muy Negativo,Negativo
"@user @user @user @user ...""futbolizando"" la afición auitomovilística.",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"Ey @user me gustaría escuchar #UnMinutoSinDolor, nuevo single promocional de @user en #LaMejorVariedadMusical de @user",positive,intertass_2017,Muy Positivo,Neutral,Positivo
Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.,negative,intertass_2017,Muy Negativo,Negativo,Negativo
A un paso de darle una vuelta completa a nuestro sol Lov u @ El Tizón,neutral,intertass_2017,Positivo,Muy Positivo,Positivo
Una pizza. Una conversación amena. Amigos. Buena noche,positive,intertass_2017,Neutral,Muy Positivo,Positivo
"Massimo Bottura está en América. Está en México. Y yo estoy aquí, acostada en mi cama, sufriendoooo!!! Quiero conocerlo",negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
@user llego a saber que zafreo es igual a cerveceo y voy,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
Buenos días amigos de Facebook   ¡¡Volvemos a tener Granizados de… http,positive,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user yo me mande a traer una XL por ebay y me queda enorme y eso que estoy panzon jaja,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"El día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd",positive,intertass_2017,Neutral,Muy Negativo,Neutral
"Desesperada estoy, trabajaré en cualquier cosa",negative,intertass_2017,Positivo,Muy Negativo,Negativo
@user Hahahaha no me enoja. Solo juego aunque es cierto,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user ¡muchísimas gracias Blanca! La verdad es que es un plato fácil pero muy rico y vistoso,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.,negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
@user @user es que hablo de sus correos corporativos en sus PCs,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
