ProductKey,Product Code,Product Name,Product Description,Comentario,sentimiento_tabularis,calificacion_nlp_bert
30,101030,Contoso 32GB Video MP3 Player M3200 Red,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,Neutral,Neutral (3 estrellas)
31,101031,Contoso 32GB Video MP3 Player M3200 Orange,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,Muy Positivo,Muy Positivo (5 estrellas)
32,101032,Contoso 32GB Video MP3 Player M3200 Pink,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life","Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",Muy Negativo,Positivo (4 estrellas)
33,101033,Contoso 32GB Video MP3 Player M3200 Black,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",como entraba una conversación de estas largas de hablar toda la noche con alguien,Neutral,Muy Positivo (5 estrellas)
34,101034,Contoso 4GB Portable MP3 Player M450 Black,"4GB built in memory, USB driver and earphone, play MP3, WMA",una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,Muy Positivo,Muy Positivo (5 estrellas)
35,101035,Contoso 4GB Portable MP3 Player M450 White,"4GB built in memory, USB driver and earphone, play MP3, WMA",Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,Muy Negativo,Negativo (2 estrellas)
36,101036,Contoso 4GB Portable MP3 Player M450 Yellow,"4GB built in memory, USB driver and earphone, play MP3, WMA","@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",Neutral,Muy Positivo (5 estrellas)
37,101037,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",Que dicha que hay trabajo y salud y vacaciones también,Neutral,Muy Positivo (5 estrellas)
38,101038,Contoso 8GB Clock & Radio MP3 Player X850 Black,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,Muy Negativo,Muy Positivo (5 estrellas)
39,101039,Contoso 8GB Clock & Radio MP3 Player X850 Green,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB","Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",Negativo,Muy Negativo (1 estrella)
40,101040,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",La pulsera es preciosa tio,Positivo,Muy Positivo (5 estrellas)
41,101041,Contoso 16GB New Generation MP5 Player M1650 Silver,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",@user es lamentable un tema tan sensible jamás con ese enfoque,Negativo,Muy Negativo (1 estrella)
42,101042,Contoso 16GB New Generation MP5 Player M1650 White,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",Muy Positivo,Positivo (4 estrellas)
43,101043,Contoso 16GB New Generation MP5 Player M1650 Black,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","@user, vaya, felicidades atrasadas y muchas gracias",Neutral,Muy Positivo (5 estrellas)
44,101044,Contoso 16GB New Generation MP5 Player M1650 blue,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",Negativo,Muy Negativo (1 estrella)
45,101045,Contoso 16GB New Generation MP5 Player M1650 Pink,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",Muy Negativo,Muy Negativo (1 estrella)
46,104001,WWI 1GB Pulse Smart pen E50 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",@user Que bonita la gente educada un gran abrazo para vos 🤗,Muy Positivo,Muy Positivo (5 estrellas)
47,104002,WWI 1GBPulse Smart pen E50 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer","@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",Neutral,Muy Negativo (1 estrella)
48,104003,WWI 1GB Pulse Smart pen E50 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,Neutral,Neutral (3 estrellas)
49,104004,WWI 2GB Pulse Smart pen M100 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,Muy Positivo,Muy Positivo (5 estrellas)
50,104005,WWI 2GB Pulse Smart pen M100 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,Muy Negativo,Negativo (2 estrellas)
51,104006,WWI 2GB Pulse Smart pen M100 Blue,"Record and link audio to be written, listen to recordings, share notes and recording with computer","Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",Positivo,Muy Positivo (5 estrellas)
52,104007,WWI 2GB Pulse Smart pen M100 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",FF a los geniales de @user !!,Muy Positivo,Muy Positivo (5 estrellas)
53,104008,WWI 4GB Video Recording Pen X200 Black,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording","90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",Neutral,Neutral (3 estrellas)
54,104009,WWI 4GB Video Recording Pen X200 Red,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.,Muy Negativo,Negativo (2 estrellas)
55,104010,WWI 4GB Video Recording Pen X200 Pink,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos,Positivo,Muy Positivo (5 estrellas)
2381,807034,Contoso Air conditioner 6000BTU E0180 Blue,"6,000-BTU air conditioner for rooms up to 180 square feet","Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",Muy Positivo,Muy Negativo (1 estrella)
2382,807035,Contoso Air conditioner 5200BTU E0100 Blue,"5,200-BTU air conditioner for rooms up to 100 square feet","Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",Muy Positivo,Muy Positivo (5 estrellas)
2383,807036,Proseware Air conditioner 25000BTU L167 White,"25,000-BTU air conditioner for large rooms up to 1672 square feet",@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).,Neutral,Muy Negativo (1 estrella)
2384,807037,Proseware Air conditioner 12000BTU M640 White,"12,000-BTU air conditioner for rooms up to 640 square feet",Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal,Muy Negativo,Muy Negativo (1 estrella)
2385,807038,Proseware Air conditioner 10000BTU M490 White,"10,000-BTU air conditioner for rooms up to 490 square feet",@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,Positivo,Muy Negativo (1 estrella)
2386,807039,Proseware Air conditioner 8000BTU M320 White,"8,000-BTU air conditioner for rooms up to 320 square feet","@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",Neutral,Muy Negativo (1 estrella)
2387,807040,Proseware Air conditioner 7000BTU E260 White,"7,000-BTU air conditioner for rooms up to 260 square feet","Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",Neutral,Muy Negativo (1 estrella)
2388,807041,Proseware Air conditioner 6000BTU E180 White,"6,000-BTU air conditioner for rooms up to 180 square feet",Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente,Positivo,Positivo (4 estrellas)
2389,807042,Proseware Air conditioner 5200BTU E100 White,"5,200-BTU air conditioner for rooms up to 100 square feet","Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",Positivo,Neutral (3 estrellas)
2390,807043,Proseware Air conditioner 25000BTU L167 Red,"25,000-BTU air conditioner for large rooms up to 1672 square feet",Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,Negativo,Muy Negativo (1 estrella)
2391,807044,Proseware Air conditioner 12000BTU M640 Red,"12,000-BTU air conditioner for rooms up to 640 square feet","Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",Neutral,Positivo (4 estrellas)
2392,807045,Proseware Air conditioner 10000BTU M490 Red,"10,000-BTU air conditioner for rooms up to 490 square feet",Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http,Muy Negativo,Muy Negativo (1 estrella)
2393,807046,Proseware Air conditioner 8000BTU M320 Red,"8,000-BTU air conditioner for rooms up to 320 square feet",Cuando pasan de tu p*** cara  😢,Muy Negativo,Muy Negativo (1 estrella)
2394,807047,Proseware Air conditioner 7000BTU E260 Red,"7,000-BTU air conditioner for rooms up to 260 square feet",@user la divaza te tiene cansado toda la noche no te deja dormir,Positivo,Muy Negativo (1 estrella)
2395,807048,Proseware Air conditioner 6000BTU E180 Red,"6,000-BTU air conditioner for rooms up to 180 square feet",Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,Muy Positivo,Muy Positivo (5 estrellas)
2396,807049,Proseware Air conditioner 5200BTU E100 Red,"5,200-BTU air conditioner for rooms up to 100 square feet","No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",Muy Negativo,Muy Negativo (1 estrella)
2397,807050,Proseware Air conditioner 25000BTU L167 Silver,"25,000-BTU air conditioner for large rooms up to 1672 square feet","@user No se , creo que no . Yo solo mire mi fecha",Muy Negativo,Muy Negativo (1 estrella)
2398,807051,Proseware Air conditioner 12000BTU M640 Silver,"12,000-BTU air conditioner for rooms up to 640 square feet","Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",Muy Positivo,Muy Positivo (5 estrellas)
2399,807052,Proseware Air conditioner 10000BTU M490 Silver,"10,000-BTU air conditioner for rooms up to 490 square feet","@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",Muy Negativo,Muy Negativo (1 estrella)
2400,807053,Proseware Air conditioner 8000BTU M320 Silver,"8,000-BTU air conditioner for rooms up to 320 square feet","@user hoy tengo libre JAJA , viernes no puedo",Muy Positivo,Muy Negativo (1 estrella)
2401,807054,Proseware Air conditioner 7000BTU E260 Silver,"7,000-BTU air conditioner for rooms up to 260 square feet",@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...,Muy Negativo,Muy Negativo (1 estrella)
2402,807055,Proseware Air conditioner 6000BTU E180 Silver,"6,000-BTU air conditioner for rooms up to 180 square feet","@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",Muy Negativo,Muy Negativo (1 estrella)
2403,807056,Proseware Air conditioner 5200BTU E100 Silver,"5,200-BTU air conditioner for rooms up to 100 square feet","ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",Muy Negativo,Muy Negativo (1 estrella)
2404,807057,Proseware Air conditioner 25000BTU L167 Grey,"25,000-BTU air conditioner for large rooms up to 1672 square feet",Sólo la Karlita me entiende y me da buenos consejos,Positivo,Positivo (4 estrellas)
2405,807058,Proseware Air conditioner 12000BTU M640 Grey,"12,000-BTU air conditioner for rooms up to 640 square feet","Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",Muy Negativo,Muy Negativo (1 estrella)
2406,807059,Proseware Air conditioner 10000BTU M490 Grey,"10,000-BTU air conditioner for rooms up to 490 square feet",Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,Muy Positivo,Muy Positivo (5 estrellas)
2407,807060,Proseware Air conditioner 8000BTU M320 Grey,"8,000-BTU air conditioner for rooms up to 320 square feet",Tengamos un día lleno de magia y lindos momentos,Positivo,Muy Positivo (5 estrellas)
2408,807061,Proseware Air conditioner 7000BTU E260 Grey,"7,000-BTU air conditioner for rooms up to 260 square feet","Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",Negativo,Negativo (2 estrellas)
2409,807062,Proseware Air conditioner 6000BTU E180 Grey,"6,000-BTU air conditioner for rooms up to 180 square feet",@user todo lo que sea posible,Neutral,Muy Positivo (5 estrellas)
2410,808001,Litware 3-Speed Oscillating High-Performance Fan E201 Black,Powerful 3-speed fan provides whisper-quiet operation,"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja",Muy Negativo,Muy Positivo (5 estrellas)
2411,808002,Litware 3-Speed Oscillating High-Performance Fan E201 White,Powerful 3-speed fan provides whisper-quiet operation,Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️,Muy Negativo,Neutral (3 estrellas)
2412,808003,Litware 3-Speed Oscillating High-Performance Fan E201 Silver,Powerful 3-speed fan provides whisper-quiet operation,cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo,Muy Negativo,Muy Positivo (5 estrellas)
2413,808004,Litware 18'' Adjustable Oscillating Pedestal Fan E301 Black,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling",@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!,Muy Positivo,Muy Positivo (5 estrellas)
2414,808005,Litware 18'' Adjustable Oscillating Pedestal Fan E301 White,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling","Quiero comer algo, aunque estoy llena",Positivo,Neutral (3 estrellas)
2415,808006,Litware 18'' Adjustable Oscillating Pedestal Fan E301 Silver,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling",No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.,Negativo,Negativo (2 estrellas)
2416,808007,Litware 3-Speed Oscillating Blower Fan M115 White,"High-velocity blower floor fan in a tall space-saving streamlined design,  ","@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel",Neutral,Muy Positivo (5 estrellas)
2417,808008,Litware 3-Speed Oscillating Blower Fan M115 Black,"High-velocity blower floor fan in a tall space-saving streamlined design,  ",glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA,Muy Negativo,Muy Positivo (5 estrellas)
2418,808009,Litware 3-Speed Oscillating Blower Fan M115 Silver,"High-velocity blower floor fan in a tall space-saving streamlined design,  ","Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",Muy Positivo,Muy Positivo (5 estrellas)
2419,808010,Litware 20'' Box Fan E401 Blue,170-watt 20-inch box fan with 3 whisper-quiet speeds,@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión,Neutral,Muy Positivo (5 estrellas)
2420,808011,Litware 20'' Box Fan E401 Black,170-watt 20-inch box fan with 3 whisper-quiet speeds,Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante,Muy Negativo,Negativo (2 estrellas)
2421,808012,Litware 20'' Box Fan E401 White,170-watt 20-inch box fan with 3 whisper-quiet speeds,Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http,Muy Negativo,Muy Negativo (1 estrella)
2422,808013,Litware 20'' Box Fan E401 Yellow,170-watt 20-inch box fan with 3 whisper-quiet speeds,"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??",Muy Positivo,Neutral (3 estrellas)
2423,808014,Litware Tower Fan E501 Black,"Space saving tower design, top mounted control pane",Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk,Negativo,Neutral (3 estrellas)
2424,808015,Litware Tower Fan E501 White,"Space saving tower design, top mounted control pane",El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza,Negativo,Negativo (2 estrellas)
2425,808016,Litware Tower Fan E501 Yellow,"Space saving tower design, top mounted control pane","@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)",Muy Negativo,Muy Negativo (1 estrella)
2426,808017,Litware Tower Fan E501 Silver,"Space saving tower design, top mounted control pane","Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas",Negativo,Negativo (2 estrellas)
2427,808018,Litware Mobile Fan External USB Cooling Fan E601 Silver,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ","Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.",Positivo,Muy Positivo (5 estrellas)
2428,808019,Litware Mobile Fan External USB Cooling Fan E601 White,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨,Muy Negativo,Muy Negativo (1 estrella)
2429,808020,Litware Mobile Fan External USB Cooling Fan E601 Pink,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,Muy Negativo,Muy Negativo (1 estrella)
2430,808021,Litware Mobile Fan External USB Cooling Fan E601 Black,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ","@user @user dicen que tira pa, san Mateo ahora Jaaja",Muy Negativo,Muy Negativo (1 estrella)
2431,808022,"Litware 16"" White Oscillating Stand Fan E701 White","16"" oscillating stand fan",@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!,Muy Positivo,Muy Positivo (5 estrellas)
2432,808023,"Litware 16"" White Oscillating Stand Fan E701 Black","16"" oscillating stand fan",@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar,Muy Negativo,Muy Negativo (1 estrella)
2433,808024,"Litware 16"" White Oscillating Stand Fan E701 Silver","16"" oscillating stand fan",Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?,Neutral,Neutral (3 estrellas)
2434,808025,"Litware 16"" White Oscillating Stand Fan E701 Grey","16"" oscillating stand fan",Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo,Positivo,Muy Positivo (5 estrellas)
2435,808026,"Litware 14"" High Velocity Floor Fan E801 Silver","High velocity volt, 3 Speeds","Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa",Muy Negativo,Negativo (2 estrellas)
2436,808027,"Litware 14"" High Velocity Floor Fan E801 White","High velocity volt, 3 Speeds",Nicole choteando idiotas desde tiempos inmemorables!,Muy Positivo,Muy Positivo (5 estrellas)
2437,808028,"Litware 14"" High Velocity Floor Fan E801 Black","High velocity volt, 3 Speeds","@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",Muy Positivo,Muy Positivo (5 estrellas)
2438,808029,"Litware 14"" High Velocity Floor Fan E801 Pink","High velocity volt, 3 Speeds",@user necesito mi ración de atención diaria que si no no mantengo la autoestima,Negativo,Neutral (3 estrellas)
2439,808030,Litware 120mm Blue LED Case Fan E901 Black,"Up to 69.69 CFM, 19dB-A silent application for CPU cooling",@user @user Fue la última vez que fuimos al cine,Muy Positivo,Muy Negativo (1 estrella)
